beta1_values,term,estimate,p.value
0,x,10.501788950248237,0.2937761096998613
0,x,-10.089590018479218,0.450482570890667
0,x,-3.5041509437346163,0.7311528731694756
0,x,15.225613386760077,0.05954471491466254
0,x,11.783606281315391,0.2876017658011344
0,x,9.398457697526554,0.3303025414783156
0,x,20.4162195528056,0.053699774946097054
0,x,-1.919505332039348,0.8328314173505597
0,x,-1.6365685222337352,0.8542727469707215
0,x,-9.099072412385215,0.280681548148008
0,x,12.236333543424262,0.20344009159053464
0,x,7.4994137752413925,0.31924981914734823
0,x,3.96408855788672,0.6755170689701246
0,x,-4.85854549084263,0.5665118322447475
0,x,-9.608355258607734,0.31555378197569095
0,x,6.054177772895131,0.4603451138038134
0,x,-3.0366537436453074,0.7510500735100427
0,x,-10.020453211804671,0.2863320156917606
0,x,-20.602293595334608,0.03158667606351941
0,x,20.368299917018927,0.017427632948948054
0,x,0.35700616168225013,0.9693199284606309
0,x,-5.50712295960213,0.5178248547072624
0,x,-14.49269795998586,0.049394609772622784
0,x,-2.936217503671038,0.7638454489877585
0,x,3.841530054266856,0.6667936718582326
0,x,0.6042703069351192,0.9266841976539797
0,x,1.9344798752987167,0.8506196588804154
0,x,7.210765828624241,0.471853841502873
0,x,-6.572382910507454,0.4275847444883176
0,x,13.188965802435373,0.11647006610144822
0,x,9.505652460265901,0.2953132285803814
0,x,1.4103181537893032e-4,0.999990207076664
0,x,-14.750879026556534,0.14566344639481293
0,x,12.966041897121599,0.3251963191976448
0,x,3.0632618487755514,0.7324294033082636
0,x,-2.039709513164451,0.8300139462494867
0,x,-4.6793616966154525,0.6384855507694689
0,x,0.8597043030416128,0.9388284611065746
0,x,3.623926252248376,0.7598676019324718
0,x,10.13625856642356,0.3089124188300837
0,x,-4.148776298447302,0.6454617578131542
0,x,0.18405213116894092,0.9867769703269488
0,x,-0.6965510843398768,0.9297771514121874
0,x,-16.29241328683318,0.23832129533178759
0,x,3.8165263728278345,0.578297593766484
0,x,-11.675691216566381,0.10535491438226918
0,x,-1.1897112152629594,0.8940170165056357
0,x,14.433292727837216,0.060876496663196916
0,x,28.06729402748489,0.06662901501765375
0,x,4.012624412058874,0.7465765263332067
0,x,-5.679748917295597,0.5381173550669841
0,x,3.451005608786282,0.7399818221073351
0,x,7.848931874286326,0.27431444114688774
0,x,8.721838122828904,0.5292132364615127
0,x,-1.0946849204336555,0.8972007554716411
0,x,8.195103612768124,0.3381943856965297
0,x,9.441920270934142,0.13384281011373778
0,x,1.8412847174102036,0.8372449531498566
0,x,-19.26359014360556,0.02856886053373846
0,x,-4.993024638334083,0.6496791112267879
0,x,12.461106833011788,0.23316529569584796
0,x,-4.153704841313137,0.6845588578045865
0,x,0.3824203766313039,0.9611622692660318
0,x,-2.8747144569803105,0.6939727707791319
0,x,6.29148586521071,0.3393996598151099
0,x,0.5372006463128607,0.9494145631580104
0,x,-4.6072379567408435,0.6853407777457214
0,x,-7.5570347545073915,0.4753972506330123
0,x,-10.625031448687865,0.23893688748089414
0,x,21.800672163027276,0.09180386988622061
0,x,4.6712022484343745,0.5991648271744319
0,x,11.322342625354025,0.1515252658762489
0,x,2.577145512333333,0.7719062090388931
0,x,2.1478710641824423,0.8206761392050417
0,x,-4.195828165251828,0.6591603150973824
0,x,-2.3856166149829194,0.7585731231782842
0,x,13.511673292797711,0.11382537333849536
0,x,0.255407178125831,0.9785519527832905
0,x,21.06328029257533,0.04210846417197174
0,x,-12.15620295878137,0.08806403869773252
0,x,-3.7099581316985946,0.7870641079766807
0,x,0.4069315827993291,0.9648651624934728
0,x,-2.0686374476471667,0.8262432872881774
0,x,7.888332212775107,0.5221888076860872
0,x,-10.900698611895063,0.23895034392114473
0,x,2.116959733284366,0.7710031545420502
0,x,-3.73857528984829,0.6634671850877036
0,x,-10.842252787442744,0.1371522584487771
0,x,-6.602569232867001,0.5725094747145163
0,x,-8.613766814428917,0.3298231398950876
0,x,-3.49019235982657,0.7801012160895489
0,x,-2.1597746366582498,0.7782485421412523
0,x,-3.116172011062487,0.721825177210378
0,x,-13.731074038010886,0.11388158895326167
0,x,-0.2015191028967996,0.9777926755981595
0,x,-3.2502378433262367,0.758556258117703
0,x,-8.312863706775754,0.42745909294543105
0,x,10.38469357292174,0.4891501494002648
0,x,2.357434518505846,0.7501434264375879
0,x,3.9716827495006246,0.6874339309566428
1,x,7.531295082553176,0.46689944901690505
1,x,-8.726542714255691,0.24289828958774268
1,x,-9.264524769589809,0.4791992299397264
1,x,5.639663578943723,0.49739298122840414
1,x,4.119353597291767,0.693661661060408
1,x,10.56776188540273,0.26518912042087855
1,x,6.141491352019481,0.4590483359622358
1,x,2.3477707400883805,0.7683069056111012
1,x,6.25845056809913,0.4519486073706711
1,x,1.4592298813225306,0.9007344797241017
1,x,0.012198606642383831,0.9989281517712523
1,x,8.803268957656128,0.23188047489375746
1,x,-1.8826208546272336,0.8444064864458013
1,x,-8.165510625866355,0.40616858016423596
1,x,7.369706874214335,0.5458432528621531
1,x,13.075418171666154,0.21781263841592885
1,x,-6.058550147524046,0.5617834349888543
1,x,10.19726026721565,0.395759376506959
1,x,1.7610144021945255,0.8061343260047086
1,x,-11.359526013218485,0.30512978184527995
1,x,0.3816874140068828,0.9656292807694311
1,x,-4.837584651121131,0.5401729274801842
1,x,-1.9267547888692353,0.854314866787333
1,x,6.090698828846684,0.49020658922883475
1,x,1.5957987850903819,0.8893772130595559
1,x,0.07278044078574092,0.9937033267330013
1,x,-3.6614433805444864,0.6546585358021932
1,x,0.9100447818348762,0.9483943331965756
1,x,10.740581761374656,0.36109442446493123
1,x,-6.689445958283193,0.37285971596765854
1,x,-11.30541739603161,0.208196507564679
1,x,-8.93338885312878,0.3487946201161307
1,x,-16.21211262041767,0.11549281932415725
1,x,11.849063105813803,0.17711675945171057
1,x,25.63714963008987,0.005219541932642222
1,x,1.945249351100136,0.8494303961304536
1,x,-11.400948184756876,0.11879102326109614
1,x,-10.011269531412147,0.1698710934677004
1,x,5.525219298582331,0.468295548382764
1,x,-11.808459998056634,0.13734826404730072
1,x,-16.462912050392084,0.1873158284999481
1,x,2.7917161534525303,0.8135245880012735
1,x,8.550927277334145,0.39049113095099375
1,x,-1.9604141063333413,0.8030930179167186
1,x,7.515221837175117,0.44143282906480474
1,x,-2.076220953495153,0.8001295403791986
1,x,5.947942751068014,0.6547213172839697
1,x,-10.16562207265652,0.20152157004289795
1,x,3.7608699226335,0.5917594731326301
1,x,-4.172256862802356,0.6476631860676727
1,x,-7.770080654051649,0.40509052673663815
1,x,-2.6120193279277526,0.7464748693804569
1,x,-10.54392922008917,0.16320134245151302
1,x,4.493870088466275,0.7352895295595565
1,x,1.5794648530425734,0.8596082322529873
1,x,-2.4655666231545825,0.791699268328342
1,x,4.1496749376034705,0.6640709510946616
1,x,0.9061736077820194,0.9238917955528898
1,x,-16.978382091010115,0.14463338496311767
1,x,-8.751975828182573,0.4291645692569086
1,x,11.881017017364762,0.3837693048382962
1,x,-2.464290088611029,0.7062835409258057
1,x,10.11187464948143,0.16916868409578917
1,x,-15.848940543757289,0.13507282566514273
1,x,-1.1626323365729834,0.9003310697772092
1,x,7.3358287172206085,0.36061392027319916
1,x,12.845972837949889,0.04749115646936268
1,x,4.8199912616512846,0.49598514378596403
1,x,-3.18398633986325,0.7701052704401593
1,x,-2.144401052847789,0.8458018165593395
1,x,-3.1531993391300475,0.6519415777855522
1,x,-6.568125139286373,0.379563875965817
1,x,0.5941589200927262,0.9467710358483188
1,x,17.586600379462617,0.2529701186804338
1,x,-2.7822772663003894,0.7614206905994618
1,x,5.985394025586647,0.5722104084224562
1,x,-12.867464928025916,0.0997431573469177
1,x,17.698126407782404,0.04832161810277901
1,x,-9.230399023185665,0.30220608603840005
1,x,0.6282051693534919,0.9519786534900709
1,x,-12.407316059332224,0.18217026010976556
1,x,-6.062067113866234,0.4761603336839336
1,x,8.900931149458572,0.36232070021319185
1,x,8.686279092885668,0.3788410365859173
1,x,-0.5706821813285392,0.9567324564676636
1,x,15.003924524303757,0.024656922964855454
1,x,-13.235127106311944,0.09952330008591723
1,x,11.156638828702729,0.1222795676745265
1,x,-1.2011098604607686,0.9144871355914276
1,x,6.61873459564086,0.4127812547510976
1,x,-6.668950331077457,0.42913909462538824
1,x,1.7477066049318997,0.8507029552546637
1,x,9.483824207088789,0.31018858480663447
1,x,-3.003477212863609,0.776496469710968
1,x,-1.19383022089045,0.9080096116539804
1,x,11.760367240388716,0.2067426778197352
1,x,2.792942413968117,0.7750908269661279
1,x,11.165663513322336,0.38300178970759047
1,x,-2.0719526423146233,0.806839048330581
1,x,4.312324622402425,0.646176864380509
2,x,-4.021004492470208,0.5664967961042842
2,x,-19.212615743622358,0.07668735589059321
2,x,14.4142228248997,0.32573600565148353
2,x,-8.879063781372444,0.32140142633628577
2,x,1.514292807776958,0.8759821707855183
2,x,0.504648769346916,0.9665427738012042
2,x,0.36505789529961136,0.9672209870599897
2,x,1.571921783431172,0.8516935191877091
2,x,2.403890991608274,0.7933007123436049
2,x,-10.590480940801942,0.307763080353512
2,x,5.6301212818513,0.4719071016399534
2,x,-10.264831886157996,0.1460457942426089
2,x,-11.316686692694871,0.30555709567233724
2,x,-0.43328579046476046,0.9669385787548845
2,x,18.016451321528503,0.1494714221917442
2,x,5.938002839337842,0.3921820175448407
2,x,-9.31563376261398,0.27483502193357146
2,x,-5.678614394622601,0.6452211868882378
2,x,-0.5908525671294886,0.9619378939985324
2,x,1.4366428412479673,0.9066446677001896
2,x,-11.90010749812278,0.15145368933398376
2,x,18.760085408745173,0.007595002554474716
2,x,10.898151202588627,0.3594979586578223
2,x,-2.398256374125341,0.7344096977074264
2,x,9.772065665863765,0.2435545447107242
2,x,9.37622854459032,0.325074678894373
2,x,6.752073223246503,0.357021376379721
2,x,-1.7344750891964762,0.8167408757995731
2,x,12.699519989511588,0.15791910770532014
2,x,20.462224907311885,0.10059708754266278
2,x,-4.181457960640701,0.6588013322851702
2,x,0.11346709255210781,0.9894959850426558
2,x,-1.5240598272070314,0.8668650306982852
2,x,-4.678160195964908,0.568408903000575
2,x,-1.7131887804001358,0.8640193112325972
2,x,34.06355058315161,2.820094214018879e-4
2,x,3.086556558485559,0.7279667126933174
2,x,2.4422922137002523,0.7650106944583068
2,x,-8.74857149351834,0.42625734798514336
2,x,-5.550798628348156,0.5109885219175833
2,x,0.7932694009060041,0.9308191063572286
2,x,-7.061684929642997,0.5104054571127994
2,x,7.522668500542273,0.44862699696932595
2,x,6.525042301096813,0.32801384655013754
2,x,-13.435472149446795,0.177109006706459
2,x,7.01294187829658,0.43080284585869144
2,x,1.9755515713804872,0.8147507644356942
2,x,2.8806039155263186,0.7774108923706848
2,x,5.302653680298967,0.6831548169503601
2,x,2.1564398447512567,0.8430819903151892
2,x,14.791159822386232,0.06490970566483592
2,x,1.0588914026974967,0.90746199279786
2,x,13.248642048623688,0.13848494707836
2,x,9.104785832688846,0.45112781652696876
2,x,-1.4605271706627407,0.8449940276472763
2,x,3.5385133910318656,0.7258526716748501
2,x,6.380418322981614,0.48882271753004336
2,x,-2.0859641748173687,0.815963052750471
2,x,1.3628315204968389,0.9118508356800057
2,x,7.4541884166504735,0.41843357997922637
2,x,5.715556187032779,0.5562502156394309
2,x,9.62910732142467,0.36997323845765673
2,x,6.3361814741409646,0.5084803830532647
2,x,11.630038928175408,0.2927774321000889
2,x,2.6534781385474524,0.6696711231253336
2,x,-4.095579476004527,0.6622948477379624
2,x,2.038456285622379,0.7992603437533812
2,x,8.039344121125785,0.4282105796455902
2,x,-3.788755137596957,0.7360928378341386
2,x,3.2119413849737684,0.745961994882004
2,x,-5.007084897165795,0.5820505706513417
2,x,-10.372616923048838,0.274423888726864
2,x,4.406883310223006,0.6878614126693477
2,x,1.862182405208394,0.8347286426793008
2,x,-0.7132037554573017,0.9438702583489309
2,x,6.577723082423622,0.4837959384846434
2,x,-7.667581214626717,0.5181666033320299
2,x,0.6145838253574665,0.9414421117726554
2,x,6.241775631975724,0.5529369256094967
2,x,12.292580114284997,0.09928551443052235
2,x,9.481340743693632,0.3299885215547146
2,x,15.202703364966752,0.1327886999112163
2,x,5.203024611306927,0.46260784938686805
2,x,2.876342336105261,0.8087917551392271
2,x,0.3348700698138177,0.9661252721349634
2,x,4.725731684995711,0.720904591723877
2,x,11.695706196908887,0.13843018795741024
2,x,-0.09066923971280481,0.9922240887906416
2,x,4.118730480897972,0.6903952748683204
2,x,0.26495610280177523,0.976023853783898
2,x,9.633869494072615,0.2968379458375844
2,x,-13.015096650845317,0.14409902910912128
2,x,10.33539684292799,0.34698582877902096
2,x,-10.297721001376276,0.19324505695014316
2,x,-3.106526567739161,0.7522787404807629
2,x,12.170012194347704,0.07452573328224815
2,x,23.29500537743786,0.014054888396208921
2,x,-3.7411393431942166,0.6374564012483683
2,x,13.415321827266995,0.10629530355461937
2,x,9.520976679445118,0.21031532374859072
3,x,9.485244560412173,0.23132053613716225
3,x,5.720245014322696,0.625898513295488
3,x,1.2302818217953004,0.9056908933882717
3,x,-14.744725703669168,0.27394471854861313
3,x,7.465138401210382,0.32063940751335174
3,x,12.953997541827041,0.11127152011231711
3,x,-8.26021291395498,0.3184716774580221
3,x,24.393133822808252,0.06101369216898603
3,x,-2.3980075736520514,0.8067815285358583
3,x,9.8196832885784,0.48808169484755726
3,x,0.8712837213655442,0.9376879644772982
3,x,5.412738629529473,0.4989885378126043
3,x,-4.009469025058882,0.6234538573026038
3,x,1.2700003254337942,0.87395113093284
3,x,-0.0988772259678217,0.9889794413056157
3,x,-1.6945999097372293,0.8749639446728633
3,x,5.171372229102872,0.5165319487696541
3,x,-3.402358582611795,0.6890906680748163
3,x,-18.612342473013133,0.05699916679979836
3,x,-2.140064723538035,0.8259323084830993
3,x,10.371738532998076,0.1296953127689171
3,x,11.414020476743087,0.16426659138177044
3,x,0.4021121171372422,0.9628510817768193
3,x,-17.238676927361798,0.25344910068441345
3,x,0.773337533598949,0.9158858640581112
3,x,11.805274368669076,0.15755648661975102
3,x,11.612855609737286,0.27140869039197635
3,x,-10.007265356896598,0.2304120092818552
3,x,11.355964598221558,0.23915507046739976
3,x,-0.3641892487944407,0.9704540739471539
3,x,5.854986500480337,0.5751476349503059
3,x,-5.869594691313812,0.5431169837079823
3,x,-12.408138506727653,0.251598771129655
3,x,-0.8695668367547419,0.9317883621962255
3,x,2.5772168646689426,0.7640679961374448
3,x,2.60677881351884,0.7684932390930808
3,x,-4.419675153189307,0.6974399720883252
3,x,5.032411214577003,0.6072594137433028
3,x,-25.949589079219304,0.022486184926170882
3,x,1.8324144708672412,0.8531071627366901
3,x,-8.59207764406329,0.2042241933977723
3,x,4.690955273027912,0.6513227271156528
3,x,-5.511392920712762,0.5798615228595865
3,x,-12.968561809360423,0.13922582366814842
3,x,2.12109423995374,0.7959783488547627
3,x,1.397616133450042,0.8585727081387008
3,x,1.2558768252409103,0.8901807776443793
3,x,-4.029080698275923,0.6788676951006593
3,x,12.670585142319434,0.22105952634279377
